	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
91	DB00630	Alendronic acid	Alendronic acid is indicated for the treatment and prevention of osteoporosis in men and postmenopausal women, treatment of glucocorticoid-induced osteoporosis, and Paget's disease of bone[FDA Label][A959,A176750]. However, alendronic acid is not indicated for use in pediatric populations or patients with a creatinine clearance <35mL/min[FDA Label].	PTPN4, FDPS, PTPRE, ATP6V1A, PTPRS	-1.0942168867161843	-1.6384621975713574	<0.0001
92	DB02052	Indirubin-3'-monoxime		AHR, GSK3B, CDK5R1, CDK1, CDK5, CDK2	-1.0567598289603775	-1.1718573114308886	<0.0001
93	DB01254	Dasatinib	For the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase chronic myeloid leukemia with resistance or intolerance to prior therapy. Also indicated for the treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy.	STAT5B, PPAT, SRC, YES1, LCK, ABL1, EPHA5, CSK, HSPA8, KIT, FYN, NR4A3, ABL2, LYN, EPHA2, BTK, MAPK14, FRK, EPHB4, BCR, FGR, MAP3K20, PDGFRB	-1.037139053943175	-1.9476099336851065	<0.0001
94	DB09237	Levamlodipine	Levamlodipine is indicated alone or in combination to treat hypertension in adults and children.[L10833]	CACNA1D, NOS2, NOS3, CACNA1C	-0.9982417563131144	-1.308465342903874	<0.0001
95	DB01092	Ouabain	For the treatment of atrial fibrillation and flutter and heart failure	ATP1A2, ATP1A1, ATP1A3	-0.9905156073312029	1.5743857418269982	<0.0001
96	DB06155	Rimonabant	For use in conjunction with diet and exercise for patients with a body mass index greater than 30 kg/m<sup>2</sup>, or patients wih a BMI greater than 27 kg/m<sup>2</sup> with associated risk factors, such as type 2 diabetes or dyslipidaemia.	CNR1, GPR55	-0.9706498973608241	-1.8114830239579676	<0.0001
97	DB12340	Navitoclax		BAD, BCL2, BCL2L2	-0.9672918662133636	1.2825104291638223	<0.0001
98	DB05465	Tandutinib	Investigated for use/treatment in leukemia (myeloid).	PDGFD, FLT3	-0.9586816892849942	-1.3969475456509979	<0.0001
99	DB06195	Seliciclib	Investigated for use/treatment in breast cancer, lung cancer, lymphoma (unspecified), multiple myeloma, leukemia (lymphoid), and cancer/tumors (unspecified).	CSNK1E, CDK9, MAPK1, CDK1, CDK7, MAPK3, CDK2	-0.902119190969712	-1.8411867402136501	<0.0001
100	DB07080	TO-901317		RXRB, NCOA2, NR1I2, NCOA1, NR1H3, NR1H2	-0.8955897260970465	-1.5311539067384905	<0.0001
101	DB00292	Etomidate	Used in the induction of general anesthesia.	GABRA1, ADRA2B	-0.8905893921747708	1.3704607572607947	<0.0001
102	DB12116	Epigallocatechin gallate		AHR, DHFR2, DNMT1	-0.8843330442841292	2.0207396484595255	<0.0001
103	DB00499	Flutamide	For the management of locally confined Stage B2-C and Stage D2 metastatic carcinoma of the prostate	AHR, NR1I2, AR	-0.8843330442841292	1.4490301776712846	<0.0001
104	DB00834	Mifepristone	For the medical termination of intrauterine pregnancy through 49 days' pregnancy. Also indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and are not candidates for surgery or have had unsuccessful surgery.	KLK3, NR3C1, NR1I2, PGR	-0.8829187567724371	1.7314532731786012	<0.0001
105	DB08175	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID		RXRB, NR1H3, NCOA2	-0.8814677369155494	-2.0190330793905664	<0.0001
106	DB07863	2-chloro-5-nitro-N-phenylbenzamide		PPARG, NCOA2, RXRA	-0.8814677369155494	1.7335208931389388	<0.0001
107	DB03758	Radicicol		DLAT, HSP90AB1, HSP90B1, PDK3	-0.8696698140468384	-1.312708856213535	<0.0001
108	DB00675	Tamoxifen	Tamoxifen is indicated to treat estrogen receptor positive metastatic breast cancer in adults, as an adjuvant in the treatment of early stage estrogen receptor positive breast cancer in adults, to reduce the risk of invasive breast cancer after surgery and radiation in adult women with ductal carcinoma in situ.[L7802]	MAPK8, ESR1, ESR2, PRKCA, NR1I2, ESRRG, SHBG, KCNH2, EBP, AR	-0.8485919991934147	2.1184236985693983	<0.0001
