	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
45	DB08633	TNP-470		METAP2	-2.608265234924837	-1.5684797939031532	<0.0001
46	DB01131	Proguanil	For the causal prevention and suppression of malaria caused by susceptible strains of <i>P. falciparum</i> and other species of Plasmodium found in some geographical areas of the world.	DHFR	-2.5955787751091677	1.3197556925646108	<0.0001
47	DB00744	Zileuton	For the prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older.	ALOX5	-2.4192940659347535	1.5756946698683336	<0.0001
48	DB04769	5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE		PIK3CG	-2.413277284942037	1.862008654790807	<0.0001
49	DB07503	(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE		PIK3CG	-2.413277284942037	-1.2702007220854261	<0.0001
50	DB04149	(R)-Rolipram		PDE4D, PDE4B	-2.324199016960919	1.5310926223416501	<0.0001
51	DB03758	Radicicol		DLAT, HSP90AB1, HSP90B1, PDK3	-2.260278255694728	1.2566136773234435	<0.0001
52	DB00208	Ticlopidine	"Used in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, to try to prevent another thrombotic stroke.
"	P2RY12	-2.259802459042135	-1.3295587776250122	<0.0001
53	DB00758	Clopidogrel	Clopidogrel is indicated to reduce the risk of myocardial infarction for patients with non-ST elevated acute coronary syndrome (ACS), patients with ST-elevated myocardial infarction, and in recent MI, stroke, or established peripheral arterial disease,[L7213]	P2RY12	-2.259802459042135	1.2736476356139999	<0.0001
54	DB03535	Z-Pro-Prolinal		PREP	-2.1998150672642844	-1.4946519718154456	<0.0001
55	DB00756	Hexachlorophene	For use as a surgical scrub and a bacteriostatic skin cleanser. It may also be used to control an outbreak of gram-positive infection where other infection control procedures have been unsuccessful.	ESR1, GLUD1, SDHD	-2.1571894769405042	2.0701210591746304	<0.0001
56	DB02097	Cytidine		UCK2	-2.121677484506267	-1.755613940284625	<0.0001
57	DB07374	Anisomycin		RPL19, RPL13A, RSL24D1, RPL3, RPL37, SNU13, RPL10L, RPL26L1, RPL11, RPL23, RPL15, RPL8, RPL23A	-2.098508751896507	1.891217287678311	<0.0001
58	DB08059	Wortmannin		PIK3CA, PLK1, PIK3CG, PIK3R1	-2.034998614303945	1.7691231220981882	<0.0001
59	DB03759	FG-9041		GRIA2	-2.017200486034375	1.634187140931844	<0.0001
60	DB08399	Piceatannol		ATP5F1A, ATP5F1B, ATP5F1C	-2.0001775504952257	-1.7788611606078295	<0.0001
61	DB00588	Fluticasone propionate	Fluticasone propionate is indicated as an inhaler for the treatment and management of asthma by prophylaxis[FDA Label]as well as inflammatory and pruritic dermatoses[F4355]. Fluticasone propionate nasal spray is indicated for managing allergic and nonallergic rhinitis[L8309,F4358].	PLA2G4A, NR3C2, NR3C1, PGR	-1.9233112433476884	-1.292107165720083	<0.0001
62	DB02187	Equilin	For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)	ESR1, HSD17B1	-1.8392300610596233	2.0908458536426564	<0.0001
63	DB04574	Estrone sulfate	Estropipate is used for the treatment of moderate to severe vasomotor symptoms associated with the monopause, and moderate to severe symptoms of vulval and vaginal atrophy associated with the menopause. It is also used to treat hypoestrogenism due to hypogonadism, castration or primary ovarian failure, and prevent postmenopausal osteoporosis.	ESR1, ESR2	-1.8392300610596233	-1.2034718273166671	<0.0001
64	DB03777	Bisindolylmaleimide I		PRKCI, PDPK1, PIM1	-1.7999930486843165	-2.0300904112671025	<0.0001
65	DB01013	Clobetasol propionate	Clobetasol propionate is indicated to treat moderate to severe plaque psoriasis[L11818,L118121,L11824] as well as inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L11815,L11827]	NR3C2, NR3C1, ANXA1	-1.7981424793875975	1.6194199938036629	<0.0001
66	DB12500	Fedratinib	Fedratinib is indicated to treat adults with primary or secondary myelofibrosis that is either intermediate-2 or high risk.[L8090]	JAK2, JAK1, FLT3	-1.779840771011674	2.0526795992297298	<0.0001
67	DB01229	Paclitaxel	Used in the treatment of Kaposi's sarcoma and cancer of the lung, ovarian, and breast. Abraxane® is specfically indicated for the treatment of metastatic breast cancer and locally advanced or metastatic non-small cell lung cancer.	MAP2, MAP4, NR1I2, BCL2, MAPT, TUBB1	-1.696602905362847	-1.5789586620811271	<0.0001
68	DB01248	Docetaxel	For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. It is also used in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer. Furthermore, docetaxel has uses in the treatment of gastric adenocarinoma and head and neck cancer. 	MAP2, MAP4, NR1I2, BCL2, MAPT, TUBB1	-1.696602905362847	1.3503965142673864	<0.0001
69	DB01380	Cortisone acetate	Cortisone acetate is indicated to treat a wide variety of endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, and gastrointestinal diseases and disorders.[A226300,L13203]	NR3C1, ANXA1	-1.6260508573896437	1.7389978511243	<0.0001
70	DB01222	Budesonide	Budesonide extended release capsules are indicated for the treatment and maintenance of mild to moderate Crohn’s disease.[L10601,L10604] Various inhaled budesonide products are indicated for prophylactic therapy in asthma[L10607,L10613,L10619] and reducing exacerbations of COPD.[L10619] A budesonide nasal spray is available over the counter for symptoms of hay fever and upper respiratory allergies.[L10616] Extended-release capsules are indicated to induce remission of mild to moderate ulcerative colitis[L10622] and a rectal foam is used for mild to moderate distal ulcerative colitis.[L10625] In addition, a delayed-release capsule formulation of budesonide is indicated to reduce proteinuria in adults with IgA nephropathy at risk of rapid disease progression.[L39479]	NR3C1, ANXA1	-1.6260508573896437	1.709824029206889	<0.0001
71	DB14512	Mometasone furoate	There are 3 formulations of mometasone furoate with various indications. The inhaler is indicated for prophylaxis of asthma in patients ≥4 years[FDA Label]. The nasal spray is indicated for treating nasal symptoms of allergic rhinitis in patients ≥2 years, treating symptoms of nasal congestion from seasonal allergic rhinitis in patients ≥2 years, treating nasal polyps in patients ≥18 years, and prophylaxis of seasonal allergic rhinitis in patients ≥12 years[F4292]. The ointment is indicated for symptomatic treatment of dermatitis and pruritis in patients ≥2 years[F4295].	NR3C1, PGR	-1.6260508573896437	-1.2493173974610676	<0.0001
72	DB01262	Decitabine	Decitabine is indicated for the treatment of patients with myelodysplastic syndromes (MDS) including all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia), as well as for MDS scored as belonging to the intermediate-1, intermediate-2, or high-risk group in the International Prognostic Scoring System.[L14962]	DNMT3B, DNMT3A, DNMT1	-1.6193580484652148	1.9519706148222078	<0.0001
73	DB06616	Bosutinib	Treatment of chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) with resistance or intolerance to prior therapy in adult patients. 	BCR, LYN, ABL1, MAP2K1, CAMK2G, HCK, SRC, MAP2K2, CDK2, MAP3K2	-1.5805564264351029	-2.7953679570115435	<0.0001
74	DB00175	Pravastatin	"Pravastatin is indicated for primary prevention of coronary events hypercholesterolemic patients without clinical evidence of coronary heart disease. Its use includes the reduction of risk on myocardial infarction, undergoing myocardial revascularization procedures and cardiovascular mortality.[T274]

As well, pravastatin can be used as a secondary prevention agent for cardiovascular events in patients with clinically evident coronary heart disease. This indication includes the reduction of risk of total mortality by reducing coronary death, myocardial infarction, undergoing myocardial revascularization procedures, stroke, and stroke/transient ischemic attack as well as to slow the progression of coronary atherosclerosis.[T274]

The term cardiovascular events correspond to all the incidents that can produce damage to the heart muscle including the interruption of blood flow.[L6028]

As adjunctive therapy to diet, pravastatin is used in:

- Patients with primary hypercholesterolemia and mixed dyslipidemias including hyperlipidemia type IIa and IIb.
- Patients with elevated serum triglycerides including type IV hyperlipidemia.
- Patients with heterozygous familial hypercholesterolemia in patients over 8 years of age with low-density lipoprotein (LDL) cholesterol higher than 190 mg/dl after diet modifications or LDL levels higher than 160 mg/dl and familial history of premature cardiovascular diseases or at least two cardiovascular risk factors.[T274]

In patients that do not respond adequately to diet, pravastatin is used to treat patients with primary dysbetalipoproteinemia (type III hyperlipidemia).[T274] 

Dyslipidemia is defined as an elevation of plasma cholesterol, triglycerides or both as well as to the presence of low levels of high-density lipoprotein. This condition represents an increased risk for the development of atherosclerosis.[L6025]"	HDAC2, HMGCR	-1.5700980319907791	-1.7958275236664205	<0.0001
75	DB01095	Fluvastatin	To be used as an adjunct to dietary therapy to prevent cardiovascular events. May be used as secondary prevention in patients with coronary heart disease (CHD) to reduce the risk of requiring coronary revascularization procedures, for reducing progression of coronary atherosclerosis in hypercholesterolemic patients with CHD, and for the treatment of primary hypercholesterolemia and mixed dyslidipidemia. 	HDAC2, HMGCR	-1.5700980319907791	1.5836906725387887	<0.0001
76	DB00518	Albendazole	For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>.	TUBB4B, TUBA1A	-1.55884024352737	-1.5084712837832597	<0.0001
77	DB07232	Veliparib		PARP2, PARP1	-1.5535289651659994	2.3110889716429086	<0.0001
78	DB00374	Treprostinil	For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise.	PPARD, P2RY12, PTGIR	-1.478718890809166	1.8025970925711092	<0.0001
79	DB04868	Nilotinib	For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).	ABL1, KIT	-1.4093870519200546	1.3129443608419504	<0.0001
80	DB08912	Dabrafenib	"Tafinlar is a kinase inhibitor that was initially indicated as a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test [FDA label].

Tafinlar in combination with [DB08911] is indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test. The use in combination is based on the demonstration of durable response rate. Improvement in disease-related symptoms or overall survival has not been demonstrated for Tafinlar in combination with trametinib [FDA label].

In May 2018, Tafinlar (dabrafenib) and Mekinist ([DB08911]) have been approved in combination to treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene [L2712]."	LIMK1, RAF1, SIK1, BRAF, NEK11	-1.3578272929380821	1.7457101581315244	<0.0001
81	DB00762	Irinotecan	For the treatment of metastatic colorectal cancer (first-line therapy when administered with 5-fluorouracil and leucovorin). Also used in combination with cisplatin for the treatment of extensive small cell lung cancer. Irinotecan is currently under investigation for the treatment of metastatic or recurrent cervical cancer. Also used in combination with fluorouracil and leucovorin for the treatment of patients with metastatic adenocarcinoma of the pancreas after disease progression following gemcitabine-based therapy. 	TOP1MT, TOP1	-1.351227851108262	-1.8860997058319728	<0.0001
82	DB01030	Topotecan	For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy.	TOP1MT, TOP1	-1.351227851108262	-1.700481635067678	<0.0001
83	DB08313	Nocodazole		HPGDS	-1.324545851743633	-1.3883143711789223	<0.0001
84	DB00630	Alendronic acid	Alendronic acid is indicated for the treatment and prevention of osteoporosis in men and postmenopausal women, treatment of glucocorticoid-induced osteoporosis, and Paget's disease of bone[FDA Label][A959,A176750]. However, alendronic acid is not indicated for use in pediatric populations or patients with a creatinine clearance <35mL/min[FDA Label].	PTPN4, FDPS, PTPRE, ATP6V1A, PTPRS	-1.3095696112640065	-1.4872961978297867	<0.0001
85	DB00914	Phenformin	For the reatment of type II diabetes mellitus.	PRKAA1, KCNJ8	-1.2840389041571272	1.7198820685968466	<0.0001
86	DB00613	Amodiaquine	For treatment of acute malarial attacks in non-immune subjects.	HNMT	-1.274368606053557	-1.678536497608563	<0.0001
87	DB11689	Selumetinib	Although selumetinib has been investigated for the treatment of several types of cancer, it is currently only indicated for the treatment of neurofibromatosis type 1 (NF1) in patients ≥2 years who have symptomatic, inoperable plexiform neurofibromas (PN).[A193611,L12852,L12969]	MAP2K1, MAP2K2	-1.2735653912393152	-1.8793694790332165	<0.0001
88	DB07348	Brefeldin A		ARF1, CYTH2	-1.2437725841695566	-1.646012563281624	<0.0001
89	DB08877	Ruxolitinib	"Ruxolitinib is indicated for the treatment of inte1mediate or high-risk myelofibrosis (MF), including prima1y MF, post-polycythemia vera MF and post-essential thrombocythemia MF in adults.[L31938] It is also indicated to treat disease-related splenomegaly or symptoms in adult patients with these conditions.[L32073]

Ruxolitinib is indicated for the treatment of polycythemia vera (PV) in adults who have had an inadequate response to or are intolerant of hydroxyurea.[L31938]

Ruxolitinib is indicated for the treatment of steroid-refracto1y acute graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older.[L31938]

Ruxolitinib is indicated for topical non-continuous and short-term treatment of mild to moderate atopic dermatitis in immunocompetent patients who are 12 years and older and whose disease is not adequately controlled with topical prescription therapies or when the topical prescription therapies are not advisable.[L39125]"	TYK2, JAK2, JAK1, JAK3	-1.218800840673409	1.615630536020749	<0.0001
90	DB08895	Tofacitinib	"For the treatment of moderate to severe rheumatoid arthritis which is resistant or intolerant to methotrexate therapy. It may also be used as an adjunct to methotrexate therapy, or other non-biologic disease-modifying antirheumatic drugs (DMARDS), when methotrexate alone is not sufficient.  

Tofacitinib has also been investigated as a preventative therapy for kidney transplant rejections, and as a treatment for psoriasis, ulcerative colitis, and ankylosing spondylitis. 

It is not to be initiated in patients with a history of chronic or recurrent infections, or in the presence of active infection, even if localized, due to reports of serious and sometimes fatal infections (commonly pneumonia, herpes zoster and urinary tract infections). Use of tofacitinib is also discouraged in those who have been, or are likely to be, exposed to TB. An increased likelihood of exposure may be encountered by traveling to certain areas. In addition, tofacitinib is not to be used in patients with severe hepatic impairment, or low hemoglobin (less than 9g/dL). Cautioned is advised when using tofacitinib in patients at risk of gastrointestinal perforation, and in the elderly who are more susceptible to infection.   "	TYK2, JAK2, JAK1, JAK3	-1.218800840673409	1.5366371672677313	<0.0001
91	DB09073	Palbociclib	"Palbociclib is indicated in combination with [letrozole] as initial endocrine-based therapy for the treatment of human epidermal growth factor receptor type 2 (HER2)-negative and hormone receptor(HR)-positive tumors in adult patients with advanced/metastatic breast cancer. It is as well approved in combination with [fulvestrant] in patients with disease progression with prior endocrine therapy.[A176783]

In the official labeling, the use of palbociclib should be accompanied with either an aromatase inhibition, no restricted to letrozole, as initial endocrine-based therapy in postmenopausal women or in man.[FDA label]

The breast cancer starts as a group of cancer cells that grow into and destroy the nearby breast tissue. This growth can spread into other parts of the body which is called metastasis. According to the location of the cancer cells, it can be categorized in ductal carcinoma and lobular carcinoma. However, other types of breast cancer include inflammatory breast cancer, Paget disease of the breast, triple negative breast cancer non-Hodgkin lymphoma and soft tissue sarcoma.[L5870] In males, breast cancer is usually treated as the cases of postmenopausal women and almost all the cases are ductal carcinoma.[L5873]"	CDK6, CDK4	-1.2064384369806844	1.8364478374628346	<0.0001
92	DB06266	Lonidamine	Investigated for use/treatment in benign prostatic hyperplasia, prostate disorders, and cancer/tumors (unspecified).	CFTR, HK1	-1.2064384369806844	-1.4212414441595003	<0.0001
93	DB01809	1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine		HCK, RET	-1.194908215531558	1.544244665070826	<0.0001
94	DB05984	RAF-265	Investigated for use/treatment in melanoma.	BRAF, KDR	-1.1935953384794808	-1.946696011697477	<0.0001
95	DB00694	Daunorubicin	"For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults and for remission induction in acute lymphocytic leukemia of children and adults.

Daunorubicin is indicated in combination with [cytarabine] for the treatment of newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC) in adults and pediatric patients 1 year and older.[L32843]"	TOP2A, TOP2B	-1.1702121823242018	-2.9059233621080742	<0.0001
96	DB00380	Dexrazoxane	For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines.	TOP2A, TOP2B	-1.1702121823242018	1.7592386725787241	<0.0001
97	DB00773	Etoposide	For use in combination with other chemotherapeutic agents in the treatment of refractory testicular tumors and as first line treatment in patients with small cell lung cancer. Also used to treat other malignancies such as lymphoma, non-lymphocytic leukemia, and glioblastoma multiforme.	TOP2A, TOP2B	-1.1702121823242018	-1.7571796969729905	<0.0001
98	DB05022	Amonafide	Investigated for use/treatment in breast cancer, ovarian cancer, and prostate cancer.	TOP2A, TOP2B	-1.1702121823242018	-1.2637199636094754	<0.0001
